
Health Institute A	01-Jan-10	48.35
Health Institute A	16-Jan-10	44.66
Health Institute A	31-Jan-10	51.75
Health Institute A	15-Feb-10	35.82
Health Institute A	02-Mar-10	42.19
Health Institute A	17-Mar-10	72.17
Health Institute A	01-Apr-10	68.72
Health Institute A	16-Apr-10	60.41
Health Institute A	01-May-10	78.37
Health Institute A	16-May-10	74.5
Health Institute A	31-May-10	75.2
Health Institute A	15-Jun-10	93.01
Health Institute A	30-Jun-10	68.17
Health Institute A	15-Jul-10	69.67
Health Institute A	30-Jul-10	117.62
Health Institute A	14-Aug-10	110.19
Health Institute A	29-Aug-10	89.97
Health Institute A	13-Sep-10	87.05
Health Institute A	28-Sep-10	104.29
Health Institute A	13-Oct-10	107.57
Health Institute A	28-Oct-10	112.52
Health Institute A	12-Nov-10	90.99
Health Institute A	27-Nov-10	113.4
Health Institute A	12-Dec-10	99.88
Health Institute A	27-Dec-10	103.44
Health Institute A	11-Jan-11	105.13
Health Institute A	26-Jan-11	103.47
Health Institute A	10-Feb-11	121.3
Health Institute A	25-Feb-11	140.97
Health Institute A	12-Mar-11	120.2
Health Institute A	27-Mar-11	129.93
Health Institute A	11-Apr-11	122.86
Health Institute A	26-Apr-11	112.02
Health Institute A	11-May-11	154.44
Health Institute A	26-May-11	174.42
Health Institute A	10-Jun-11	169.13
Health Institute A	25-Jun-11	170.08
Health Institute A	10-Jul-11	162.62
Health Institute A	25-Jul-11	187.15
Health Institute A	09-Aug-11	154.23
Health Institute A	24-Aug-11	167.29
Health Institute A	08-Sep-11	159.91
Health Institute A	23-Sep-11	176.34
Health Institute A	08-Oct-11	151.59
Health Institute A	23-Oct-11	174.47
Health Institute A	07-Nov-11	192.84
Health Institute A	22-Nov-11	167.09
Health Institute A	07-Dec-11	174.79
Health Institute A	22-Dec-11	210.74
Health Institute A	06-Jan-12	213.09
Health Institute A	21-Jan-12	204.07
Health Institute A	05-Feb-12	204.65
Health Institute A	20-Feb-12	224.29
Health Institute A	06-Mar-12	208.82
Health Institute A	21-Mar-12	213.26
Health Institute A	05-Apr-12	214.48
Health Institute A	20-Apr-12	217.12
Health Institute A	05-May-12	216.08
Health Institute A	20-May-12	249.07
Health Institute A	04-Jun-12	219.92
Health Institute A	19-Jun-12	241.27
Health Institute A	04-Jul-12	214.65
Health Institute A	19-Jul-12	242.66
Health Institute A	03-Aug-12	246.57
Health Institute A	18-Aug-12	260.68
Health Institute A	02-Sep-12	231.23
Health Institute A	17-Sep-12	258.89
Health Institute A	02-Oct-12	249.5
Health Institute A	17-Oct-12	226.51
Health Institute A	01-Nov-12	277.39
Health Institute A	16-Nov-12	265.63
Health Institute A	01-Dec-12	250.07
Health Institute A	16-Dec-12	255.42
Health Institute A	31-Dec-12	284.91
Health Institute A	15-Jan-13	293.98
Health Institute A	30-Jan-13	268.78
Health Institute A	14-Feb-13	283.7
Health Institute A	01-Mar-13	274.11
Health Institute A	16-Mar-13	325.99
Health Institute A	31-Mar-13	297.57
Health Institute A	15-Apr-13	272.37
Health Institute A	30-Apr-13	279.71
Health Institute A	15-May-13	274.55
Health Institute A	30-May-13	323.26
Health Institute A	14-Jun-13	290.95
Health Institute A	29-Jun-13	310.82
Health Institute A	14-Jul-13	323.76
Health Institute A	29-Jul-13	311.92
Health Institute A	13-Aug-13	319.06
Health Institute A	28-Aug-13	286.72
Health Institute A	12-Sep-13	322.71
Health Institute A	12-Sep-13	315.19
Health Institute A	27-Sep-13	362.49
Health Institute A	12-Oct-13	362.15
Health Institute A	27-Oct-13	335.98
Health Institute A	11-Nov-13	331.63
Health Institute A	26-Nov-13	298.23
Health Institute A	11-Dec-13	332.88
Health Institute A	26-Dec-13	327.7
Health Institute A	10-Jan-14	303.09
Health Institute A	25-Jan-14	353.52
Health Institute A	09-Feb-14	340.58
Health Institute A	24-Feb-14	298.23
Health Institute A	11-Mar-14	337.93
Health Institute A	26-Mar-14	286.04
